X,seed_kras,seed_nras,seed_hras,uniprotswissprot
CIAO1,-2.57757722625939,2.43873567452285,1.75313706600792,O76071
SPRY4,2.57208641348531,2.4356923974007,1.74973272286167,Q9C004
PSMG1,-2.57159482027741,2.43549453370341,1.74533845280271,O95456
SLC44A3,2.57088073230493,2.43362785505345,-1.74219538962982,Q8N4M1
PXMP4,-2.56873662255628,2.43260707461155,1.7391236125922,Q9Y6I8
CCDC117,-2.56660282645743,2.42824625991314,-1.73755557688796,Q8IWD4
IER3,2.56511076193981,-2.42754834393187,-1.73578784692568,P46695
FCGBP,2.56022925558075,2.42730967986276,1.73435799851363,Q9Y6R7
COL10A1,2.5548914731362,2.4242868876569,1.73218443733209,Q03692
PARP8,2.54941974192533,2.4216311189102,-1.73195554414941,Q8N3A8
ZNF256,-2.54858740121911,2.41907589431586,1.73119823041422,Q9Y2P7
MAEA,2.54857989135324,2.41865508182168,1.730922042728,Q7L5Y9
KRAS,2.54589134291433,-2.41703780685253,-1.73024280221059,P01116
NDUFAF6,-2.54509970325182,2.41477719244921,1.72914849981735,Q330K2
TFF3,2.54248713445418,2.41446551902759,-1.72730410933241,Q07654
AOAH,-2.53030500908972,-2.40733004078244,1.72337258877151,P28039
ITGA2,2.52965223637107,2.40695953994132,-1.72323619990837,P17301
EPHA4,2.52411219747172,2.40429687160193,1.72244051982957,P54764
ASPHD2,2.52194435179964,2.40052341000509,1.71641112148068,Q6ICH7
SPRR2A,-2.5167130531766,-2.3996836738903,1.71042067287099,P35326
ARMC1,-2.51593413003345,2.39609607367928,1.70500263423519,Q9NVT9
SH3BGRL3,2.51460911533084,-2.38870056544636,1.69995391753948,Q9H299
LRP10,2.5139293144257,-2.38632365785061,-1.69716201443753,Q7Z4F1
EPS8L3,2.51268224824797,2.3822579359957,-1.69673244095759,Q8TE67
CORIN,2.51219571020607,2.38209539729383,1.69502999880611,Q9Y5Q5
GPRC5A,2.5101591702925,-2.37948303229506,1.69029352662558,Q8NFJ5
IFI16,2.50696033226465,-2.36008746156568,-1.68813108762375,Q16666
RGS3,2.50645229054515,2.35919262303546,-1.68812144791887,P49796
PDLIM7,2.50585915140959,2.35816899844393,1.68666771653771,Q9NR12
ALOX5,2.49454581280751,2.34995233104684,1.68206501960851,P09917
CMTM7,2.49415609297851,2.3478677422477,1.67917978680944,Q96FZ5
CWF19L2,-2.49272397745135,-2.34366129384294,1.67739313969433,Q2TBE0
HBZ,2.4903100264592,2.34016438410507,-1.67492392594338,P02008
GATC,-2.47967313926824,2.33733804375022,-1.6722126262241,O43716
TMEM236,-2.47824246777058,-2.33329856655542,1.66836687763817,Q5W0B7
GNG4,-2.477407112496,2.33281096740562,1.66796944923703,P50150
GMDS,2.47373602031039,2.32950725166931,-1.66057964010982,O60547
TSPO,2.47121850209118,2.32657765090906,1.65595378142114,P30536
ZNF544,-2.47070353628416,2.32532193784056,1.65513595491925,Q6NX49
IFITM2,2.46944581199516,-2.32236194196862,1.64920924214491,Q01629
TNIP2,2.46585660463861,2.32138754469892,1.64879911282023,Q8NFZ5
HOXB3,2.46506409412255,2.32104582103024,1.64667644711865,P14651
ZNF844,-2.46389339968722,-2.31663186519265,-1.64531651043502,Q08AG5
RBL1,-2.46209171972321,2.3136721140384102,1.64508932715093,P28749
DLX6,-2.46067705565635,-2.30622065307465,1.63735371956916,P56179
AGRN,2.45408408113778,-2.30318008193397,1.6334448698028,O00468
RNFT1,-2.45326680518775,2.30241571228903,-1.63332481257959,Q5M7Z0
BACE2,2.4481998169584,-2.29882749899487,1.62996568851559,Q9Y5Z0
HYKK,-2.44426488529818,2.29757327489819,-1.62291511839573,A2RU49
METTL9,2.44409141241739,-2.29751334472281,-1.62208300122203,Q9H1A3
SERPINB1,2.4429437256272,2.29689261607038,-1.62207657174115,P30740
C8orf33,-2.44264221088549,2.29600937018992,1.62204738023089,Q9H7E9
CYB561,2.44029874128624,2.29596184051174,1.61782158436875,P49447
TRIM47,2.43905957573193,2.29489865151627,-1.61765971912785,Q96LD4
UTP23,-2.43785183238537,-2.29451924052831,1.61709046862846,Q9BRU9
SLC2A12,-2.43102097524649,-2.28658126371573,1.61148865558503,Q8TD20
NT5E,2.43094308019516,-2.28506016007098,1.61124372396426,P21589
TMEM126B,-2.4306636531706,2.28230095171505,1.61003220753775,Q8IUX1
SLC44A4,2.4248765746608,2.27556572669159,1.6075930531085,Q53GD3
SHF,2.42392002330863,2.27208713553849,1.60567962713457,Q7M4L6
METTL2B,-2.42261987936109,2.26854789389776,1.60379056779046,Q6P1Q9
ADAP1,2.4211142300232402,-2.2667198445859,-1.60117480320662,O75689
ARHGAP26,2.41685495393454,-2.26504819487151,1.59614387100614,Q9UNA1
OSGEPL1,-2.41608344850801,2.26306841277691,1.59599728206402,Q9H4B0
