,seed_kras,seed_nras,seed_hras
TRIM24,-3.83033458432537,3.64774931139164,2.88575797304126
RP11-638I2.6,3.81519301438468,-3.64662245284662,2.87644403813448
AC006989.2,-3.80141986562117,-3.64106875301454,2.87273703483559
RP11-789C1.2,3.79533345466165,3.6332975764884,2.87249645918667
ADAM8,3.79075188808433,3.63118154130705,2.85794632178558
MS4A12,-3.7839035704639,3.62171367169295,2.84554379512135
AL354808.1,3.75779924643847,3.59582445043234,2.83795713623702
RP4-548D19.3,3.7503719319332,3.59231167242073,2.8217389912781
RP11-731I19.1,3.74602695680078,3.57028776007924,2.82151140077408
CA4,-3.74221666837047,-3.56939694770184,2.79987762028301
LA16c-395F10.2,3.73799053142275,3.5567189880852,-2.79613053885454
NOTCH2P1,3.73243268410428,3.55615579039737,2.78262392648104
RP11-244N20.7,3.7290816427459,3.55549077611491,2.78044604078572
RP11-25K21.1,3.72020514086481,3.54931905598889,2.76457541824024
CTC-340A15.1,3.69837349728421,-3.54697594863548,2.76051836416287
RP11-495K9.3,3.68852973244465,3.54681105130991,2.75794028494005
OSTF1P1,3.68597872513808,-3.53611617902825,-2.75480937089354
S100P,3.67908866183505,3.53364687113159,2.75362891712987
FAM3D,3.67809124986425,-3.53333211238739,2.7485347537882
CTD-2026K11.1,3.67606914253051,3.52992944724417,2.74540840259468
UBE2Q2P5Y,3.65465641097291,3.52697120372561,2.7439626700392
RHBDL2,3.65248121043759,3.52266642036311,2.74115866016211
RP11-126K1.8,3.6442868902403,3.51392390618651,-2.73961849658568
OR2AH1P,3.61913358747934,3.51319024887695,2.72763410516865
SPRY2,3.61499304043121,3.51292237874629,2.72559261537297
NCAPD2P1,-3.60395897572685,3.51270427507659,2.72440265574549
FAM83A,3.59491013494666,3.50528848880459,2.70039015357748
AC005256.1,3.58487535120129,3.50491494105443,2.69368240167356
GALNT8,3.57582447078014,3.5009745766928,2.67711575160182
RP11-110I1.12,-3.57521468002905,3.50015733061561,2.66354212321638
RNU6-976P,3.57334078140598,-3.49968359954822,2.65600545301232
ITGB6,3.56531697996751,3.49346525315339,2.64944606021278
AC013269.3,3.56407417919547,3.48671094695309,2.6437570096069
ENTPD2,3.56254299646365,3.48487991342186,2.64351178350858
CTD-2540B15.11,3.54902277626386,3.48202406484778,2.6422610104288
MIR4470,3.54781245114825,-3.47529786840542,2.64134339144968
MIR3155A,-3.52868519117153,-3.46888923456394,2.63140170682776
AC090587.5,-3.52743345860157,3.46362517858125,2.61746424967722
C11orf82,-3.51809898852158,3.45938440320745,2.61365527553493
FAM92A1P1,-3.51268352155036,3.454177931245,2.61228566609215
POLR3F,-3.50261994589714,3.44912027000653,2.61088472019197
CTB-191K22.5,3.50098220203072,-3.43710519957839,2.60838904072246
ADAM30,3.49926683288361,3.43473026764079,2.60405155659622
TUBB8P7,3.49613021715176,3.43148674944359,2.60246724432562
TCP11,3.48872240045871,-3.42985039571386,2.59697279954848
RP11-196G18.24,3.48775303427664,3.42374143455623,2.59649117279788
RP11-285F7.2,3.48644394592233,3.41308627683796,-2.5962759077739
RP11-278A23.2,-3.48564680693198,3.40564350862878,2.57389759048061
AL358113.1,3.48413983669621,3.39570005886884,2.5700809569285
MIR27A,3.48187720980432,-3.39092343408544,2.5686909546725
CES1,-3.48037603657007,3.38071404203374,2.56667857141775
IGHV3-42,-3.47754200679263,3.36877201552214,2.55427193058645
AC009238.6,3.47649255285873,3.3683876915541,2.55289249549572
HOXB4,3.47366459693494,3.36413225011327,2.55256217165783
C6orf47-AS1,3.47263644637994,3.35860057554488,2.54930805874768
RP11-169F17.1,-3.47109411173313,-3.34538304087292,2.54474223352158
RP11-123G9.1,3.45242509721064,3.33970900169039,-2.53718907908945
CCL24,3.44411804685388,3.33951911237236,2.53143555219653
PCSK1,3.44334054975479,3.33907890689389,2.52177993017382
RP11-355F22.1,3.44265430611186,3.33260135072747,2.51760696749795
CTB-50L17.7,3.44031484473469,-3.33136175151799,2.51297447617903
AL135901.1,-3.43432578465248,-3.32997423897375,-2.50759417703403
TOMM22P2,3.43165807374828,3.32740570054531,2.50488242277461
TESC,3.42338370502006,3.32636525993977,2.50308195431666
RP11-1398P2.1,3.41839919044415,3.31916240800252,2.49953444964833
RP11-77H9.5,3.41532577376217,-3.31845131284138,2.49721145282722
NXPE4,-3.41303366731485,3.31648477805695,-2.49409738210018
SLC2A8,-3.41198184506473,3.31567045959829,2.48157930582111
CERS4,-3.40918441440469,-3.31536793772006,2.4814972076846
RP11-93B14.5,3.39853852116085,-3.31327600606086,2.47982132235672
FAM83A-AS1,3.38975666853128,-3.29580270708123,2.47353223005767
BMP4,3.38964891701701,-3.29437218624353,2.47208734661643
MFSD10,3.38918389571915,3.29358341115512,-2.46121358710833
AC008964.1,3.38628590861804,3.29016093904302,2.45507247084718
FFAR4,3.38453642011527,-3.28573621178463,2.44928069759204
RP11-110I1.11,-3.38251110834008,-3.28317378563456,2.44756035457554
MERTK,-3.37569353427822,3.28188077788296,-2.44711939632793
RNU4-29P,3.3677604747307,-3.26825064006482,-2.4468353768189
AL356458.1,3.36014406633368,-3.26804928093551,2.43810485093977
RP11-382A18.2,-3.35970569211257,3.25393199698442,2.43295025651326
MGAT5,3.35526166435622,3.22742982375537,2.42699796096285
AC090673.1,3.35205985202321,-3.22206097092628,2.42588818157089
RP5-1087E8.3,3.34550793882541,3.21910208645313,2.42243671422738
TCF25,3.34194885496136,3.21203425458843,2.42190786446972
