Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9006115,"Signaling by NTRK2 (TRKB)",1,27,0.002229378251176616,0.05215548922340074,0.10348482680301918,1,38,0.0024546217944577224,9606,Homo sapiens,"P12931","P12931","R-HSA-9037040"
R-HSA-418360,"Platelet calcium homeostasis",1,28,0.0023119478160350095,0.054036210218871505,0.10348482680301918,2,8,5.16762483043731E-4,9606,Homo sapiens,"Q13586","Q13586","R-HSA-434798;R-HSA-434700"
R-HSA-1483191,"Synthesis of PC",1,28,0.0023119478160350095,0.054036210218871505,0.10348482680301918,2,17,0.0010981202764679284,9606,Homo sapiens,"Q8NF37","Q8NF37","R-HSA-8873923;R-HSA-8873834"
R-HSA-3928663,"EPHA-mediated growth cone collapse",1,29,0.002394517380893403,0.055913354665550585,0.10348482680301918,3,4,2.583812415218655E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-3928651;R-HSA-3928602;R-HSA-3928648"
R-HSA-8939211,"ESR-mediated signaling",2,195,0.016101065147386674,0.056624264650572353,0.10348482680301918,5,111,0.007170079452231768,9606,Homo sapiens,"O14980;P12931","O14980;P12931","R-HSA-9021609;R-HSA-9021660;R-HSA-9021596;R-HSA-9632873;R-HSA-9632412"
R-HSA-8874081,"MET activates PTK2 signaling",1,30,0.0024770869457517958,0.05778692906975236,0.10348482680301918,3,5,3.229765519023319E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-8874083;R-HSA-8874082;R-HSA-8874080"
R-HSA-5654732,"Negative regulation of FGFR3 signaling",1,30,0.0024770869457517958,0.05778692906975236,0.10348482680301918,1,14,9.043343453265293E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-1295609"
R-HSA-9820965,"Respiratory syncytial virus (RSV) genome replication, transcription and translation",1,30,0.0024770869457517958,0.05778692906975236,0.10348482680301918,1,63,0.0040695045539693815,9606,Homo sapiens,"O14980","O14980","R-HSA-9831677"
R-HSA-9012999,"RHO GTPase cycle",3,452,0.03732144331599373,0.05866804766071654,0.10348482680301918,11,91,0.005878173244622441,9606,Homo sapiens,"Q00587;P12931;Q9UPS8","Q00587;P12931;Q9UPS8","R-HSA-9013145;R-HSA-9018808;R-HSA-9018746;R-HSA-9726848;R-HSA-9014449;R-HSA-9696266;R-HSA-9017507;R-HSA-9696271;R-HSA-9013157;R-HSA-9696268;R-HSA-9014294"
R-HSA-9680350,"Signaling by CSF1 (M-CSF) in myeloid cells",1,31,0.002559656510610189,0.059656939926484465,0.10348482680301918,11,14,9.043343453265293E-4,9606,Homo sapiens,"P12931","P12931","R-HSA-9733316;R-HSA-9680385;R-HSA-389159;R-HSA-9680389;R-HSA-9733330;R-HSA-9680388;R-HSA-9733331;R-HSA-9817983;R-HSA-9733323;R-HSA-9680348;R-HSA-9818010"
R-HSA-186763,"Downstream signal transduction",1,31,0.002559656510610189,0.059656939926484465,0.10348482680301918,2,16,0.001033524966087462,9606,Homo sapiens,"P12931","P12931","R-HSA-186819;R-HSA-380780"
R-HSA-5654733,"Negative regulation of FGFR4 signaling",1,31,0.002559656510610189,0.059656939926484465,0.10348482680301918,1,14,9.043343453265293E-4,9606,Homo sapiens,"P12931","P12931-1","R-HSA-1295609"
R-HSA-201556,"Signaling by ALK",1,31,0.002559656510610189,0.059656939926484465,0.10348482680301918,2,42,0.002713003035979588,9606,Homo sapiens,"P12931","P12931-1","R-HSA-9700647;R-HSA-9700648"
R-HSA-456926,"Thrombin signalling through proteinase activated receptors (PARs)",1,32,0.0026422260754685825,0.06152339371947679,0.10348482680301918,5,16,0.001033524966087462,9606,Homo sapiens,"P12931","P12931-1","R-HSA-418163;R-HSA-418176;R-HSA-418158;R-HSA-418170;R-HSA-418200"
R-HSA-8941326,"RUNX2 regulates bone development",1,32,0.0026422260754685825,0.06152339371947679,0.10348482680301918,2,32,0.002067049932174924,9606,Homo sapiens,"P12931","P12931","R-HSA-8937820;R-HSA-8937844"
